,userName,score,at,content
550,iman budiman,5,2022-05-12 23:18:09,Smart kaleee...
551,Eckovic Reefer,5,2022-05-12 23:13:30,wow... indonesian brand for modern home solution
552,Jimly Permana,5,2022-05-12 16:28:43,instalasi sangat praktis dan mudah
553,Holong Sagala,5,2022-05-12 15:38:33,Nice Bardi. Keep it up.
554,lipaing setya budi,1,2022-05-12 15:31:53,"software has no problem but quality of product is worst.. cctv often facing error, unable to detect memory card.."
555,Ignasius Pratama,5,2022-05-12 13:14:42,"Ekosistemnya bagus, bikin suasana rumah jadi hidup, apps nya juga gampang dipakai 👍👍"
556,Brigita Intan Buanafani,5,2022-05-12 12:10:36,good
557,Cici Ekawati,5,2022-05-12 10:08:58,user friendly
558,Rio Astomo,5,2022-05-12 05:00:43,very good
559,Erwin Syamsi,4,2022-05-12 04:48:52,no leg
560,Rivai Haza,5,2022-05-12 04:01:15,good
561,Yan S.,5,2022-05-12 00:49:37,easy to use
562,Ardhie Kurniawan,5,2022-05-11 22:48:43,The Smartest Application who make any device Automate.. Good Job.
563,Rizqi Wahyu,5,2022-05-11 14:10:31,"manteb, semua electrical rumah jadi smart"
564,Raflyn Ratag,5,2022-05-11 13:09:15,"esay to use, minimal hassle, good job 👍"
565,M Rumansyah Hambali,4,2022-05-11 11:36:40,"Lumayan, walaupun ada delay per sekian detik saat live."
566,Romi Kenzgibrand,5,2022-05-11 11:14:53,Best apps and lamp
567,Sandi Hwan,5,2022-05-11 09:37:04,Fungsional
568,Nur Endro Kisowo,5,2022-05-10 23:28:53,sangat mudah di Aplikasi kan dan bagus
569,viko iqra,1,2022-05-10 23:23:59,"Sudah nyalain nya. Buat nyambung ke HP aja kadang bisa kadang kaga, buat nyalain aja susah banget"
570,INDOSMART COURSE,5,2022-05-10 21:42:30,easy-to-use
571,Hariyanto,5,2022-05-10 16:16:42,Very good
572,mahfudz efendi,5,2022-05-10 14:35:20,good UI/Ux easy to understand and use
573,Jan Girsang,5,2022-05-10 10:50:18,mudah di aplikasikan dan setting waktunya
574,Dhian Utama,5,2022-05-10 09:24:03,aplikasi nya keren. berfungsi dgn baik
575,Frastio Agustian,5,2022-05-10 04:22:52,best!
576,TMS Channel,5,2022-05-10 00:14:00,👍
577,Arif Nurrahman,5,2022-05-09 23:09:25,sangat membantu
578,Reyhan Saleh,5,2022-05-09 13:02:10,Nice app and very2 useful
579,aryawan handoko,5,2022-05-09 12:30:48,Affordable High Tech CCTV
580,Wahyu Hari Purnomo,5,2022-05-09 11:35:23,aplikasinya mudah digunakan dan realtime notifikasi saat ada pergerakan atau suara. saya sudah pasang 3 CCTV di kos dan 1 CCTV di rumah
581,sonneeaa erka,5,2022-05-09 10:21:19,aplikasi untuk rumah pintar anda
582,Ricky Satia,5,2022-05-09 09:36:26,"mantap banget, price to performance nya mantap bardi"
583,Jemmy Gunawan,1,2022-05-09 08:04:12,"Smart automation nya kadang berfungsi kadang tidak berfungsi, sangat tidak reliable. Mungkin kalo perlu fungsi automation yang reliable lebih baik cari brand lain aja"
584,Kartika Rizky Lim,1,2022-05-09 07:59:57,"IT KEEPS TELLING US IT FAILED TO START SEVERAL TIMES. IT FORCES US TO RESTORE AND CLEAR HISTORY IMMEDIATELY. AFTER WE CLICK YES AND RESTORE THE APPLICATION STILL SHOWING THE ""FAILED TO START"" WINDOW!!!!!"
585,Erwi Yuliansyah,5,2022-05-09 06:34:21,"Bagus, terima kasih"
586,Paschalis Andri,5,2022-05-09 05:55:16,Good product and user friendly apps
587,feisal novel,5,2022-05-08 22:51:01,very helping solutions and good technologies
588,Rosma Diandari,5,2022-05-08 22:04:33,"device bagus, instalasi mudah dan sekarang bs termonitor semua. mantap."
589,josephine maeda,5,2022-05-08 13:29:04,sangat membantu menjaga keamanan rumah
590,Cakra Buana,4,2022-05-08 13:26:09,"cctv quality is good, but the microphon is not good. or maybe the internet connection problem?."
591,Irna Rahmaniar,5,2022-05-08 13:17:12,easy to install and operate daily
592,Rachmat Ichwan (BroMatIC),4,2022-05-08 12:20:17,"only one device can control in one product, its good when in one product can conect or controled by saved multiple device"
593,Andi Suhendra (andibeceq),5,2022-05-08 12:13:55,Kereennn
594,Satna Susila,5,2022-05-08 11:03:57,smart applications
595,Herman Joseph,5,2022-05-08 09:40:42,bagus
596,Daris Raihan Dityo,5,2022-05-08 09:30:32,"Bagus sih, tapi konektivitas smart device dengan aplikasi smartphone kadang tidak terhubung meski menyala, serta loading aplikasi menurut saya masih bisa ditingkatkan. Widget juga dapat ditingkatkan agar perform task dapat berlangsung lebih cepat lagi."
597,Muhammad Adriani Abdie,5,2022-05-08 09:03:47,"Aplikasinya mudah digunakan, dan tampilan sederhana"
598,fanoreza farid,5,2022-05-08 05:00:19,mudah digunakan fitur nya juga lengkap. sangat membantu untuk monitor rumah dr jauh
599,Irwandi Irwandi,4,2022-05-08 03:35:40,Adain Picture in Picture untuk CCTV. Jadinya bisa ngerjain hal lain selain nontonin CCTV doank. Ga efisien banget harus selalu nontonin CCTV ga bisa ngerjain hal lain di handphone.
600,Syafriadi Effendi,5,2022-05-07 22:16:48,exellent
601,motor 88serpong,5,2022-05-07 16:00:59,good
602,Shelly Fischarina,5,2022-05-07 15:49:46,easy to access
603,MR Holmes,5,2022-05-07 14:20:36,the apps is great and works always
604,Retno Dewi,5,2022-05-07 12:53:57,friendly user
605,Emil Fadillah,2,2022-05-07 11:28:14,"produknya bagus, tapi kenapa setiap listrik padam dr PLN dan kemudian hidup lagi lampu bardi tidak terkoneksi ke aplikasi bardi (offline), padahal kondisi WIFI lancar jaya, saklar listrik lampunya mesti di off kan dulu trus di on-kan lagi baru bisa terhubung ke Smartphone. masalah ini terjadi di 4 lampu bardi saya, kecuali lampu LED strip bardi aman aman saja walau listrik PLN sering padam."
606,Rova,2,2022-05-07 10:29:14,Bukan semakin improve tapi malah semakin menurun.. Performa lambat dan siknronisasi juga sangat lambat.. Padahal android stabil dan handphonr memadai. Bahkan sudah uninstall dan reinstall juga restart HP. Memang app nya yang semakin menurun performanya. Sucks!
607,Gandita Anggoro,5,2022-05-07 06:28:52,"gampang setting nya, konek wofinya 0lug n play"
608,yoseph ferdi,1,2022-05-07 04:31:27,Update dong.. cctv nya skrng sering ga kebaca memory nya.. pnya tetangga jg.. apa update firmware ya
609,dony utomo,5,2022-05-07 03:47:54,good
610,alvin T,5,2022-05-07 03:37:37,"Mantap bgt ini bardi.. yg gw seneng dia bs sharing control.. dan bardi sudah keluarin banyak smart home.. saran untuk bardi, kalo bs keluarin lebih banyak lg new smart home.. seperti vacum cleaner, dll.."
611,rush lee,5,2022-05-07 02:52:00,Nice
612,Hendra Budi,5,2022-05-06 23:21:56,excelent experience
613,Heru Prayitno,5,2022-05-06 22:53:57,awasome
614,Irmanti Maulida,5,2022-05-06 22:08:31,lebih bagus dr merk sebelah yg terkenal. Gak pernah error
615,Saefudin Saefudin,5,2022-05-06 11:03:44,Mudah digunakan. Andal
616,Seng Li,5,2022-05-06 10:44:39,very good n useful
617,Edy Kiswanto,5,2022-05-06 09:24:30,Mantebb gambar tajam. Harga murah
618,Bagus Sinatrya,4,2022-05-06 08:38:39,diperbanyak lagi ya model2 automationnya
619,Mohamad Fadhli,5,2022-05-06 07:50:59,aplikasi berfungsi dengan baik.. fitur lengkap dan berjalan lancar..
620,Ahmad Hafiz Nasution,5,2022-05-06 06:08:32,good apps.. like it...
621,Camsasika “Ricky” Putra,4,2022-05-05 19:21:54,Oke. Belum menemukan kendala. Cuma kalau bisa ukuran widgetnya dibuat kecil khusus untuk power lampu. Terus untuk lampu bluetooth mungkin juga bisa ditambahkan di widget.
622,Eddy Ramdan,5,2022-05-05 17:14:48,"sudah menemani 1-2 tahun, lumayan membantu. walaupun banyak ruang improvement, perbanyak support perangkat tuya global"
623,Filipus Junedy N,1,2022-05-05 03:41:27,"Ini aplikasi kenapa ya sejak tambah banyak device yg saya tambah, semakin banyak error ? Semua device kebanyakan berstatus offline padahal semuanya lagi nyala. Kalo tidak kebalikannya, malah keliatan online padahal offline. Saya mau on/off selalu tidak ada reaksi, mesti refresh berulang2! Lama2 saya ganti aja pake merk lain kalo kayak gini terus aplikasinya. Smart atau stupid ya."
624,Herry Sugeng,5,2022-05-05 02:52:18,"kalau bisa fitur ""if"" pada smart bisa di tambahkan. Misal jika sebuah lampu garasi di link kan dg sensor gerak, jika saat ada pergerakan lampu garasi nyala, pd saat tidak ada gerakan akan ""off"" tp jika tidak ada schedule yg sedang aktif. Bila lampu tsb sedang dalam schedule ""on"", maka jika tidak ada gerakan jangan ""off"", karena lampu garasi terkadang ada schedule yg on Delay utk sensor menyalakan lampu tangga masih terlalu lama, shg orang sdh selesai naik tangga baru nyala"
625,Faiz TA,1,2022-05-04 16:44:31,Sering gak respon. Udh dipencet di app tapi lampu nya tetep ga berubah cerah terang nya / kalo dimatiin ga mau nyala. Udah di sync ulang masih gitu juga. Jelek app nya gak sync ama smart object nya
626,Edhi Sant,5,2022-05-04 06:29:50,good
627,Fanny Intan Christanty,5,2022-05-03 17:37:33,"Super simple, elegant and affordable ✨💡thankyou, Bardi!"
628,adeppe,3,2022-05-03 15:54:10,"Lampu nya sering tiba-tiba nyala mati sendiri, sehingga perlu di configure ulang reconnect the router. tapi yg paling menyebalkan adalah Automation nya ikutan ke remove, jadi perlu bikin lagi..tolong perbaiki.."
629,Rochmad M,5,2022-05-03 03:58:47,Helpfully..
630,Marta Van Dar Wan,5,2022-05-02 10:52:43,love it
631,K7RIE,1,2022-05-02 05:29:46,App ngapa gede banget si. Isinya iklan doang padahal. Gabisa naroh di drag down menu lagi on/off nya
632,zoe paille,5,2022-05-01 23:48:38,"best apps ever, i can check my parents from far away,"
633,Ibnu Hajar Ulinnuha,4,2022-05-01 18:12:12,"Hello, why some of my device wont connect with the google home?"
634,Bonny Bambang,5,2022-05-01 01:44:27,"amazing, you can control your appliances at home, remotely"
635,Dean Handimulya,5,2022-04-29 21:46:58,mengontrol rumah dalam satu genggaman dengan sangat mudah dan praktis
636,Mochammad Tofan Konjiel,2,2022-04-29 11:17:13,"Kenapa tidak bisa install aplikasi bardi smart home di Samsung galaxy J5 Pro, keterangannya ""your device isn't compatible with this version"" padahal OS dan google playstore sudah updated latest version semua, mohon bantuan nya thanks"
637,marsel wellem,5,2022-04-29 07:45:37,Berfungsi dengan baik
638,Chandra Sugiarto,5,2022-04-28 21:51:45,"Bardi is nice, thank you"
639,Iman Firmansyah (iim),5,2022-04-28 16:59:13,murah mudah bagus.. mantaap la
640,Supriyatna,5,2022-04-28 13:26:09,Otomatisasinya bekerja dengan baik. Mantap.
641,Mike Purba,1,2022-04-28 11:56:21,mode warna lampu ga bisa dipilih kadang kadang
642,Muhammad Rizky Rizaldy,5,2022-04-27 19:59:54,"Mantap setelah di update app + firmware device nya sekarang udah stabil, watt meter udah realtime top bardi, aftersales nya jg selalu respon ketika ada masalah"
643,asadtales network,5,2022-04-27 16:04:53,mantap jaya
644,Dian Eko P,5,2022-04-27 14:35:51,nice app
645,Mr. Postman,3,2022-04-27 06:02:25,Sering sekali lost
646,Melania 1784,1,2022-04-27 03:01:10,Fitur playback tidak berfungsi setelah update.. Gk tau deh record masih berjalan normal atau gk.. interfacenya sangat membingungkan dan ribet. Saran coba buat seperti album jadi lebih mudah jika ingin memutar ulang rekaman video yang ingin diputar..
647,Frans Azali,5,2022-04-26 17:32:26,good
648,Dicky Ahmad,5,2022-04-26 10:31:29,Cakep
649,Peace Angling,5,2022-04-26 08:11:10,kerenn
650,darobi syafii,5,2022-04-26 06:47:22,"Practicable, simple and usefull"
651,Sandy Trafonta,5,2022-04-26 06:46:38,Good
652,Agung Prasetyo,5,2022-04-25 21:42:59,Memudahkan
653,Harun shalih gaming,5,2022-04-25 20:01:29,easy to use but powerfull
654,Muhammad Rusydi Prasetya,5,2022-04-25 18:38:14,Mantaps.....memudahkan.....tingkatkan keamanan dan amankan database data min
655,Andrew Store,5,2022-04-25 18:22:31,"sangat puas di fitur timer khusus nya, Kita bisa atur kapan harus nyala kapan harus mati . God job 👍"
656,Victor Setiawan Hartanto,1,2022-04-25 15:49:52,"Beli karena tertarik automation IP camera link to Siren alarm trigger. Berfungsi untuk type Indoor PTZ, tapi untuk Outdoor static cam BARDI malah tidak berfungsi motion detectionnya hanya sebatas notifikasi, tidak bisa trigger ke Siren Alarm, ANEH. Tolong diperhatikan programming firmwarenya, saya lihat kemungkinan karena ada variable mismatch, banyak variable yg penamaannya tidak uniform (di sini ditulis ""detection"", disana ditulis ""detected"") mungkin menjadi penyebab trigger tdk bs. Pls fix!"
657,yudha yudhaanes@yahoo.co.id,5,2022-04-25 15:24:37,mntap
658,setio adi susanto,5,2022-04-25 14:15:25,user friendly
659,trii Dgchoro,5,2022-04-25 13:16:12,good app
660,AW ID,5,2022-04-25 10:02:31,Muantullll Tenannnn!!!
661,Priscillia Katiandagho,5,2022-04-25 09:48:45,Good job
662,kimi,4,2022-04-24 23:37:23,"menurut ku kdg suka gk sinkron dri hp ama lampunya, selain itu app nya mudah digunakan"
663,Agus Pondaag,5,2022-04-24 22:33:06,fantastic
664,Soleh Imut,4,2022-04-24 21:57:02,"Easy to use, integrate to google assistant but slow loading."
665,ekoi moko,5,2022-04-24 15:12:17,"amazing, simple and effective...realy nice"
666,Erwin Ha,5,2022-04-24 13:23:52,great Job
667,Yanu Rinanto,5,2022-04-24 11:20:27,so far so good.. Memuaskan
668,Irzal Hakim,2,2022-04-24 02:31:27,Suka ga connect
669,John Freddy,4,2022-04-24 01:46:27,Layan sangat membantu di keseharian
670,Depnialex Pakpahan,5,2022-04-24 01:24:37,"belum merasakan full manfaatnya karena cuma beli 1 produk, tapi.. oke banget barangnya."
671,tina lumadi,5,2022-04-23 23:32:43,Good Application
672,Albert Halim,5,2022-04-23 18:23:33,easy to use
673,Herlangga Sefani,3,2022-04-23 12:58:46,cukup lah buat ngecek2 doang
674,Hendri Saputra,5,2022-04-23 10:48:11,apik lek
675,I Gusti Gede Kenzie P Hemendra,5,2022-04-23 10:32:11,Aplikasi yg sangat mantab...
676,fian ade,5,2022-04-23 07:53:43,flexible bisa dibawa kemana aja . manfaat banget karya anak bangsa
677,Rama,5,2022-04-23 05:23:44,good CCTV monitoring app
678,Tegar Himpong,5,2022-04-22 22:24:29,good
679,Sandy Julia,1,2022-04-22 15:47:50,"lg ada problem apa ya sama aplikasi nya, eror mulu nih"
680,Adi Y,5,2022-04-22 13:28:31,"peningkatan aplikasinya cukup signifikan, after salesnya juga oke banget"
681,Yovi Siahaan,5,2022-04-22 07:36:16,"NICE, EASY TO USE"
682,Andre Radhitya,5,2022-04-22 01:36:16,easy to use
683,Indra Bagus K,4,2022-04-22 01:24:51,"Memuaskan, hanya yang baru load ke camera lebih lama dari sebelumnya. Mungkin karena ada iklan."
684,masdar's Vlog,5,2022-04-21 19:22:31,aplikasi berfungsi dengan baik dan sangat bermanfaat
685,September Rain 46,5,2022-04-21 16:12:28,Hazicha i miss you..
686,Ricky Jonas,3,2022-04-21 14:48:20,"UI cakep, pemakaian mudah. Tp kenapa kurang responsive yaaa? Suka patah2 di dalem app"
687,Bangun Setiawan,5,2022-04-21 12:36:05,Mantafff
688,Nauval Eka (Eka),3,2022-04-21 11:33:25,Camera static UI playback control very sucks. Suddenly moves when the slider released
689,Hernandi Hoesni (ΛΝDΗΣΣ),4,2022-04-21 09:01:27,Terima kasih admin untuk responnya... Masalah sudah beres dengan melakukan hardware reset...
690,Kemas Irwansyah,5,2022-04-21 08:57:09,Memuaskan
691,IGON,5,2022-04-21 07:08:37,Aplikasi sangat memuaskan mudah regristrasi dan gampang akses nya
692,Catur Agustiyanto,5,2022-04-21 04:03:48,sangat membantu
693,Santoso RS- G,5,2022-04-21 02:30:29,"usefull, simple and practise"
694,yona akbar,5,2022-04-20 14:48:41,"user friendly, easy to navigate, and direct link to customer service in case you might find any problem."
695,Nur Wachid,5,2022-04-20 11:17:05,"senang sekali bisa pantau rumah, bisa atur lampu rumah saat bepergian"
696,pandyapratita putra,5,2022-04-20 08:45:44,helpfull
697,Susilo Susilo,5,2022-04-20 07:26:25,mantul
698,Johan Tagor,5,2022-04-20 04:07:19,Nice app
699,garry ng,4,2022-04-20 02:43:03,hanya perlu ditingkatkan cara atasi koneksi terputus dipermudah.
700,Anton Praptomo,5,2022-04-20 01:36:34,sangat puas dgn layanan after salesnya. CCTV baru umur 1 bulan rusak krn kemasukan air ada 8 pieces saya klaim diganti baru semua ga pake lama
701,Gus Muj,4,2022-04-19 23:54:00,Msh ribet n kurang user friendly
702,agung betet,5,2022-04-19 23:35:59,bardiii kereeen
703,Henny Andayaniughh,5,2022-04-19 23:18:14,The best pokok nya bisa pantau kluarga dari luar negri. Kerja pun terasa tenang. Makasih Bardi.
704,indra anggara,5,2022-04-19 20:57:45,good
705,Tias Pramuka,5,2022-04-19 18:09:36,"mudah, murah, praktis, berkualitas"
706,Muhammad Aditya,5,2022-04-19 17:11:34,The Apps makes life easier. User friendly and its very simple to used.
707,Ryo De Jenairo,4,2022-04-19 16:34:00,"butuh update di view kamera, seperti percepatan kamera hanya sampai 2x, klo bisa d tambah 4x - 5x, lalu fitur automation juga perlu dibuat lebih mudah, karna sering false detection"
708,Dian L,5,2022-04-19 16:04:23,"Indoor CCTV nya kereeenn. two ways communication tapi sayang camera ga bisa gerak ngikutin motion detection hanya kirim notif aja kalau misal ada yg bergerak. overall, satisfy!"
709,Taufik Septiar,5,2022-04-19 15:08:33,very good
710,Aan Isnan,5,2022-04-19 14:40:57,very good applications
711,Irwan Sutarto,5,2022-04-19 14:18:07,Lancar buat cek CCTV
712,1001 Nights,3,2022-04-19 12:16:43,"waktu mau play view dari alarm replaynya kok malah putar siaran live, gimana toh..."
713,Gaip Teguh Santoso,4,2022-04-18 21:02:53,Bagus
714,Rendra Risdiantanto,3,2022-04-18 20:41:13,"slow open, please use cache"
715,Bethzu Budjid,5,2022-04-18 09:48:10,keren
716,Budi Santoso Sukarsono,5,2022-04-18 08:53:53,"mantap, pengoperasian mudah, tinggal klik klik lalu beres, yang penting ada WiFi."
717,M. Hanivan T. Wibowo,5,2022-04-17 22:54:03,Good functionality.
718,kareta angin,5,2022-04-17 21:48:03,mantap
719,Ichwan Saputro,5,2022-04-17 19:56:43,Great smarthome application
720,Totok Indrawanto,5,2022-04-17 14:33:47,Not a single day without it.
721,roman totenberg,4,2022-04-17 13:52:52,"Bagus, tapi terkadang lemot"
722,Daniel Sirait,5,2022-04-17 13:43:43,user friendly so much
723,My Axis,1,2022-04-17 13:12:22,"After i update, the app keep force closed not responding. Please fix it, or can i downgrade the app ?"
724,fuad rahmad,5,2022-04-17 11:59:31,very handy!
725,AK48ID,5,2022-04-17 11:52:13,terbaik
726,Edwan Team,3,2022-04-17 11:37:19,"Versi 1.3.2 bermasalah pada bardi pir motion sensor, dimana suara notifikasi menjadi tidak berfungsi dan sering delay yg cukup lama. sedangkan pada versi terdahulu 1.1.6, semuanya berjalan lancar. Hingga saat ini belum ada tanda update perbaikan lagi, sehingga terpaksa harus menggunakan aplikasi lain."
727,Leonardi Setiono,3,2022-04-17 11:36:18,"Beberapa perangkat di daftar Smart IR Bardi ada yang tidak dikenali di Google Home. Seperti Audio Samsung. Dari awalnya tidak ada dalam list Google Home sampai di hapus dan tambahkan berkali baru ada, tetapi tidak bisa di on off lewat Google Assistant. Dibanding produk Smart IR merek lain dari Tuya, audio yang saya maksud tadi bisa muncul di list Google Home dan bisa dikontrol on off. Perangkat lainnya ok, saklar, plug dan breaker berjalan sempurna. Lebih ringan dari pada aplikasi Smart Life."
728,Tonny Tan,4,2022-04-17 10:48:37,lumayan bagus
729,Jalan Semut,5,2022-04-17 10:43:24,nice
730,Ngurah Bagus,5,2022-04-17 08:11:47,Thanks Bardi
731,ali iyan,5,2022-04-17 00:49:43,kadang suka susah dikoneksinya mungkin bisa diberikan tipsnya
732,Tovan,5,2022-04-16 23:54:58,Sangat fungsional.
733,Donny Nurhadi Tan,4,2022-04-16 21:43:01,Excellent..
734,dra culamerahitam (indra cahya),5,2022-04-16 21:41:13,canggihhh...
735,Raharjo,5,2022-04-16 20:39:54,Good Application 👍
736,Chahyo Guntoro Popo,5,2022-04-16 20:17:07,mantab serba otomatis bisa scedule hemat listrik
737,adi sutejo,2,2022-04-16 16:43:48,"Tambah decice, makin banyak makin delay lelet aplikasi nya. Router sudah pakai support 248 device, ini bardi hanya 25an device, udah delay 25-35 detik hanya untuk buka infrared remote versi 12m. Lampu2 juga jadi lebih delay, seperti server/aplikasi cloud bardi overlad"
738,enrieqco lee,1,2022-04-16 13:35:17,Aplikasinya semakin di-update malah semakin kacau. Urutan CCTV malah jadi berantakan saat dilihat dalam 1 frame. Tidak sesuai dengan urutan. Jadi semakin males beli produk Bardi. Nyesel sudah terlanjur beli 6 kamera.
739,Erwin Sajudi,5,2022-04-16 01:24:44,Setelah ada update terbaru. Sekarang jadi lancar melihat cctv nya. Good job👍 (Device: Samsung S22 Ultra)
740,Jeffry Kenanga,5,2022-04-15 23:09:12,user interface sangat bagus 👍
741,Muhammad Rizki Ramadhan,3,2022-04-15 14:52:29,tidak bisa fullscreen kembali pada Samsung Chromebook 4 saat memasuki apk yang ke 2x setelah log in. pada saat pertama kali install apk dan log in bisa fullscreen. saat dibuka yang kedua kalinya jadi tidak bisa fullscreen lagi. tolong di perbaiki. trimakasih
742,aiowa,3,2022-04-13 18:34:58,"ac nya jadi tidak bisa swing,"
743,Ridwan Wijaya,1,2022-04-10 13:50:43,Skema automasi gagak mulu. Setelah update tanggal 18 malah gak bisa automation nya. Benerin dong bug nya ini security sistemnya gk bener.
744,Leo L. D. Saragih (leoliharma),5,2022-04-10 13:03:33,Apa beda aplikasi Bardi Smart Home dengan Bardi Smart Home for TV ?
745,H S (hergimerc),1,2022-04-10 08:37:00,Sekarang sudah mulai ada iklannya. Sampah.
746,Zaki Rahman,1,2022-04-09 13:28:40,"Setelah update firmware untuk smart plug, malah sering disconnect antara hp dengan smartplug nya. Sudah update bardi home versi terbaru tapi tidak membantu. Smart plug yang belum update firmware tidak ada masalah Update: setelah chat sama CS juga nggak ada problem solvingnya"
747,R. Muhamad Lukky Fadillah,1,2022-04-08 08:20:46,Hard to install Bardi Apps via Android
748,prd x,1,2022-04-07 13:28:09,Semua angka freeze setelah upgrade ke 1.0.3
749,Restu Oka Yudhitia,2,2022-04-05 23:43:47,"after a while using this, all my device is offline. I've already reset but still offline"
750,Lim Lim,4,2022-04-04 23:40:36,"Saya pakai untuk lampu Bardi yang versi Bluetooth. Pada dasarnya berfungsi baik, tapi ada kekurangan besar sekali, kalau sempat ada putus listrik PLN, maka setting jam ON OFF pada lampu semua dilupakan sama sekali. Ketika listrik PLN nyala kembali, lampu otomatis ada dalam posisi ON selamanya"
751,Janscok RG,1,2022-04-03 20:43:53,"update yg skrg malah gembel, widget kadang ga berfungsi"
752,Yose Leonardo,5,2022-04-03 15:30:14,Mantap sangat membantu
753,Donovan,1,2022-03-31 16:50:05,"pakai versi 1.1.6 semuanya berjalan dengan normal, entah kenapa versi yang terbaru jadi amburadul fungsinya. smart plug device on kebaca off, scheduler smart plug selalu lenyap. saya stay di 1.1.6 dulu deh"
754,and jing,1,2022-03-31 14:07:21,"aplikasi bermasalah, bukan devicenya. setelah update jadi kurang responsif, sering lag, lemot. aplikasinya harus diperbaiki."
755,Donnie Ramadhany,5,2022-03-31 03:09:55,Very helpful for migrating conventional devices to IoT devices
756,Calvinapr,1,2022-03-30 14:14:18,"Setelah update versi terbaru ternyata lebih berat dan gk responsif dibandingkan versi sebelumnya, pahal hp saya chipsetnya snapdragon 845 tapi tetep berat. Masukan untuk bardi, mungkin fitur mall di dalam aplikasi bisa dihapus saja, atau konten di fitur tersebut diubah formatnya supaya aplikasi bardinya bisa lebih ringan."
757,Martin,5,2022-03-26 12:18:05,gg
758,Darrell .J,2,2022-03-26 11:51:27,update setting schedule biar pas jam berapa lampunya bisa berubah warna dll
759,Mike Lee,5,2022-03-25 02:57:18,"A very nice Apps Management for All Bardi IoT devices. Sadly version 1.3.2 has bugs for Smart Plug (single). When using Timer countdown, The Smart Plug did turn off, but the Apps still show timer running and ON Status. Please fix this ASAP. Update: Problem fixed"
760,ne,2,2022-03-25 01:35:03,The app always lagging and sometimes the app kicked me out
761,Rahmat Saleh,3,2022-03-23 10:44:57,tuk smart switch wall prangktnya sering reset sendiri jadi hrus seting ulang.
762,Erwin Ardhianti,5,2022-03-22 18:35:13,Cool
763,S Ch,5,2022-03-22 09:14:40,Helpfull
764,suryAdi hartanto,1,2022-03-22 04:07:09,Utk model terbaru PTZ ip indoor sudah korban 2microSD rusak.. tolong diperbaiki.. bakekin aja ke versi yg lama... Dan 2 function penting di PTZ indoor terbaru malah hilang: MOTION TRACKING dan HUMAN BODY FILTERING.. please tolong di perbaiki...
765,Yudi,3,2022-03-22 00:30:40,"abis update, info on/off untuk smart plugnya salah. padahal on, tp pas buka aplikasi malah off (uda d scroll down refresh, sama aja)."
766,Donovan,1,2022-03-21 09:29:56,"i decide downgrade to 1.1.6 for my devices and the status back to normal. the latest update have several problem for device status which is off that actually on, the scheduler always reset, etc"
767,Rio Harriedsyach,1,2022-03-21 00:39:00,"I didn't get any motion detection alarm all of sudden, I already cleared the cache and push notification on but still nothing. Is there any way to fix it?"
768,Jeff,3,2022-03-20 17:01:33,"Sayang sekali. Automation & kondisi on/off Smart Plug error semua (Smart Plug off tetapi di aplikasi on)..... Saat ini hanya Schedule yang normal, sementara saya butuh Automation untuk menghidupkan Lampu BARDI ketika saya menghidupkan Smart Plug..... Sudah hampir 1 minggu error seperti ini. Dan tentu saja ini bukan karena aplikasinya...... Mohon di fix bugs ini dari pusat server."
769,Harvian,4,2022-03-20 16:48:09,setelah update aplikasinya tidak bisa mematikan perangkat
770,Christian Tampi,5,2022-03-20 09:43:11,"Statistic error after last update, device always shown as ""on"" even the schedule ""off"""
771,winsar sibuea,1,2022-03-19 23:12:01,Jadi error nih smartplug.. kyknya jd error massal..
772,Shiga,3,2022-03-19 15:21:26,"Its just me or what, after a while i realize light bulb response to turn on/off or color change are faster in ok google instead in app, i say ok google to turn on/off or color change only take 1 or 2 sec, while in app, sometimes i need to reopen the app to do it, and sometime it realy take some time to ligh color to change in app, already clear data and re install the app"
773,Aby Babeh,5,2022-03-19 10:07:18,Notifikasi sudah muncul di hp.. mantab tim dev nya 👍
774,Agus Purnomo,5,2022-03-19 06:39:52,Great app. Please add an option to rearrange the camera's views
775,Willson chen,2,2022-03-19 05:43:10,since new update on/off button and timer doesnt sync with the hardware
776,william u,1,2022-03-18 20:08:08,"Kondisi Power State Smart Plug di aplikasi tidak sinkron ketika app di refresh. Terjadi di versi 1.3.0, 1.3.1, 1.3.2. Smart Plug terconnect normal ke network. Sudah mau coba report di FAQ unresolved, app malah crash."
777,Andre,3,2022-03-17 15:03:32,"every day i must turn off n turn on, why?"
778,Husin Wijaya,1,2022-03-17 13:11:13,"Sering tiba2 kena device offline, padahal online.. jadi mesti setting lg"
779,Iwan Darmawan,1,2022-03-17 03:04:45,"ini gimana sih sejak di update , smart plug yg online terlihat offline..sedangkan yg offline terlihat online...jadi bingung..udah clear cache..clear data...sama aja"
780,Tony Tony,1,2022-03-16 14:43:55,"I share 'Smart IR Remote 10 m' to my brother's Bardi Account, so that he can control the Air Conditioner too. Unfortunately, it can't be control from his phone."
781,Narko BSR,5,2022-03-16 13:09:35,Okeeee
782,Chris Wid,1,2022-03-16 06:53:34,Tidak ada pushnotif sensor gerak dan suara stlh update terbaru. Padahal dulu ada. tolong di perbaiki dl
