"","text"
"570"," nyalain nya  nyambung  hp aja kadang  kadang kaga  nyalain aja susah banget"
"571","easytouse"
"572","very good"
"573","good uiux easy to understand and use"
"574","mudah  aasikan  setting "
"575","aasi nya keren berfungsi dgn "
"576","best"
"577",""
"578"," membantu"
"579","nice and very useful"
"580","affordable high tech cctv"
"581","aasinya mudah   realtime notifikasi   erakan  suara   ng  cctv  kos   cctv  rumah"
"582","aasi  rumah ar "
"583","mantanget e to ormance nya mantardi"
"584","smart automation nya kadang berfungsi kadang  berfungsi   reliable  kalo u fungsi automation  reliable   cari brand  aja"
"585","it keeps telling us it failed to start several times it forces us to restore and clear history immediately after we click yes and restore the application still showing the failed to start window"
"586","bagus terima kasih"
"587","good uct and user friendly apps"
"588","very hel solutions and good technologies"
"589","device bagus instalasi mudah   bs termonitor  mantap"
"590"," membantu menjaga keamanan rumah"
"591","cctv quality is good but the micro is not good or maybe the internet connection lem"
"592","easy to install and ote daily"
"593","only one device can control in one uct its good when in one uct can conect or controled by saved multidevice"
"594","kereennn"
"595","smart acations"
"596","bagus"
"597","bagus sih taonektivitas smart device  aasi smarte kadang  terhubung  menyala  loading aasi     ditingkatkan widget  daditingkatkan  orm task daberlangsung  celagi"
"598","aasinya mudah   tamn sederhana"
"599","mudah  fitur nya  lengkaangat membantu  monitor rumah dr "
"600","adain picture in picture  cctv   ngerjain    nontonin cctv doank ga efisien banget   nontonin cctv ga  ngerjain    hande"
"601","exellent"
"602","good"
"603","easy to access"
"604","the ais great and works always"
"605","friendly user"
"606","uknya bagus taenaetiastrik m dr pln   hidugi lamardi  terkoneksi  aasi bardi offline  kondisi wifi lancar jaya saklar listrik  mesti  off   trus  onkan    terhubung  smarte      lamardi  kecuali lamed strirdi aman aman   listrik pln  m"
"607","  ime taalah  menurun performa lambat  siknronisasi   lambat  android stabil  handr memadai   uninstall  reinstall  restart hp  aya   menurun ormanya sucks"
"608","gam setting nya konek wofinya lug n "
"609","ue  cctv nya skrng  ga kebaca memory nya  tetangga jg ae firmware ya"
"610","good"
"611","mantat  bardi yg gw seneng  bs sharing control  bardi  keluarin  smart home saran  bardi kalo bs keluarin   lg new smart home sei vacum cleaner dll"
"612","nice"
"613","excelent exence"
"614","awasome"
"615"," bagus dr merk sebelah yg terkenal gak ah error"
"616","mudah  andal"
"617","very good n useful"
"618","mantebb gambar tajam harga murah"
"619","dianyak  ya model automationnya"
"620","aasi berfungsi   fitur lengkan berjalan lancar"
"621","good a like it"
"622","oke  menemukan kendala    ukuran widgetnya   khusus  r lamterus  lamluetooth      widget"
"623"," menemani   lumayan membantu walaubanyak ruang imement anyak sut ngkat tuya global"
"624"," aasi kenaa    device yg     error   device kebanyakan berstatus offline    nyala kalo  kebalikannya  keliatan online  offline   onoff    reaksi mesti refresh berulang   ganti aja  merk  kalo kayak gini  aasinya smart  stuya"
"625","  fitur if  smart   tambahkan    lamarasi  link  dg sensor gerak    erakan lamarasi nyala aat   gerakan  off tka   schedule yg  aktif  lamsb   schedule on     gerakan  off  lamarasi terkadang  schedule yg on delay utk sensor menyalakan lamangga    shg orang sdh selesai  tangga  nyala"
"626"," gak res udh diet  aaamya tete berubah cerah terang nya  kalo dimatiin ga  nyala udah  sync ulang  gitu  jelek aya gak sync ama smart object nya"
"627","good"
"628","susimelegant and affordable thankyou bardi"
"629","lamya  tibatiba nyala mati   u  configure ulang reconnect the router tag ng menyebalkan  automation nya ikutan  remove  u bikin lagitolong aiki"
"630","helly"
"631","love it"
"632","agaede banget si isinya iklan doang  gabisa naroh  drag down menu  onoff nya"
"633","best aever i can check my nts from far away"
"634","hello why some of my device wont connect with the google home"
"635","amazing you can control your aances at home remotely"
"636","mengontrol rumah   genggaman   mudah  tis"
"637","kenaidak  install aasi bardi smart home  samsung galaxy j pro keterangannya your device isnt comble with this version  os  google store  ued latest version  mohon bantuan nya thanks"
"638","berfungsi  "
"639","bardi is nice thank you"
"640","murah mudah bagus mantaa"
"641","otomatisasinya    mantap"
"642","mode warna   dih kadang kadang"
"643","mantatelah  ue a firmware device nya  udah stabil watt meter udah realtime tordi aftersales nya jg  resketika  "
"644","mantaya"
"645","nice app"
"646","  lost"
"647","fitur back  berfungsi  ue gk tau deh record  berjalan normal  gk interfacenya  membingungkan  ribet saran coba  sei album   mudah   memutar ulang rekaman video   dir"
"648","good"
"649","cakep"
"650","kerenn"
"651","practicable simand usefull"
"652","good"
"653","memudahkan"
"654","easy to use but rfull"
"655","mantamemudahkantingkatkan keamanan  amankan database data min"
"656","   fitur timer khusus nya   atur kaharus nyala kaharus mati  god job "
"657","beli  tertarik automation ip camera link to siren alarm trigger berfungsi  tyndoor ptz tantuk outdoor static cam bardi   berfungsi motion detectionnya  sebatas notifikasi   trigger  siren alarm aneh tolong diatikan ramming firmwarenya  lihat    variable mismatch  variable yg maannya  uniform   ditulis detection disana ditulis detected   ebab trigger tdk bs pls fix"
"658","mntap"
"659","user friendly"
"660","good app"
"661","muantullll tenannnn"
"662","good job"
"663"," ku kdg suka gk sinkron dri ha    aya mudah "
"664","fantastic"
"665","easy to use integrate to google assistant but slow loading"
"666","amazing simand effectiverealy nice"
"667","great job"
"668","so far so good memuaskan"
"669","suka ga connect"
"670","layan  membantu  keseharian"
"671"," merasakan full manfaatnya   beli  uk ta oke banget barangnya"
"672","good acation"
"673","easy to use"
"674","cukuh  ngecek doang"
"675","alek"
"676","aasi yg  mantab"
"677","flexible  dibawa kemana aja  manfaat banget karya anak bangsa"
"678","good cctv monitoring app"
"679","good"
"680","lg  lem aa  aasi nya eror mulu nih"
"681","ngkatan aasinya cukugnifikan after salesnya  oke banget"
"682","nice easy to use"
"683","easy to use"
"684","memuaskan    load  camera        iklan"
"685","aasi berfungsi     bermanfaat"
"686","hazicha i miss you"
"687","ui cakemakaian mudah tnaurang resive yaaa suka h  dalem app"
"688","mantafff"
"689","camera static ui back control very sucks suddenly moves when the slider released"
"690","terima kasih admin  resya   beres   hardware reset"
"691","memuaskan"
"692","aasi  memuaskan mudah regristrasi  gam akses nya"
"693"," membantu"
"694","usefull simand tise"
"695","user friendly easy to navigate and direct link to customer service in case you might find any lem"
"696","senang   au rumah  atur lamumah  beian"
"697","hell"
"698","mantul"
"699","nice app"
"700"," u ditingkatkan  atasi koneksi ters diudah"
"701","  dgn layanan after salesnya cctv  umur   rusak krn kemasukan air   es  klaim diganti   ga  "
"702","msh ribet n  user friendly"
"703","bardiii kereeen"
"704","the best k nya  au kluarga   negri kerja  tenang makasih bardi"
"705","good"
"706","mudah murah tis berkualitas"
"707","the amakes life easier user friendly and its very simto used"
"708","butuh ue  view kamera sei en kamera  samx klo  d  x  x  fitur automation  u   mudah karna  false detection"
"709","indoor cctv nya kereeenn two ways communication taayang camera ga  gerak ngikutin motion detection  kirim notif aja    yg bergerak overall satisfy"
"710","very good"
"711","very good acations"
"712","lancar  cek cctv"
"713","   view  alarm renya   r siaran live gimana "
"714","bagus"
"715","slow ose use cache"
"716","keren"
"717","mantangosian mudah tinggal klik klik  beres  ing  wifi"
"718","good functionality"
"719","mantap"
"720","great smarthome acation"
"721","not a single day without it"
"722","bagus taerkadang lemot"
"723","user friendly so much"
"724","after i ue the aeerce closed not resing please fix it or can i downgrade the a"
"725","very handy"
"726","terbaik"
"727","versi  bermasalah  bardi motion sensor dimana suara notifikasi   berfungsi   delay yg cukuma   versi    berjalan lancar      tanda ue aikan   tera   aasi "
"728","beberaerangkat  daftar smart ir bardi    dikenali  google home sei audio samsung      list google home samdi hadan tambahkan berkali   tetaidak   on off  google assistant dibanding uk smart ir merek   tuya audio   maksud   muncul  list google home   dikontrol on off perangkat  ok saklar   breaker berjalan sema  ringan   aasi smart life"
"729","lumayan bagus"
"730","nice"
"731","thanks bardi"
"732","kadang suka susah dikoneksinya    tia"
"733"," fungsional"
"734","excellent"
"735","canggihhh"
"736","good acation "
"737","mantab serba otomatis  scedule hemat listrik"
"738"," decice    delay lelet aasi nya router  i sut  device  bardi  an device udah delay  detik   buka infrared remote versi m lamjuga   delay sei serveraasi cloud bardi overlad"
"739","aasinya  diue   kacau urutan cctv   berantakan     frame  sesuai  urutan   males beli uk bardi nyesel  terlanjur beli  kamera"
"740","  ue terbaru   lancar  cctv nya good job device samsung s ultra"
"741","user interface  bagus "
"742","  fullscreen   samsung chromebook   memasuki aang  x  log in   ama kali install aan log in  fullscreen  dibuka   kalinya    fullscreen  tolong  aiki trimakasih"
"743","ac nya    swing"
"744","skema automasi gagak mulu  ue tanggal   gak  automation nya benerin  bug nya  security sistemnya gk bener"
"745","aeda aasi bardi smart home  bardi smart home for tv "
"746","    iklannya sam"
"747"," ue firmware  smart    disconnect  hngan smart nya  ue bardi home versi terbaru taidak membantu smart    ue firmware    ue  chat  cs  nggak  lem solvingnya"
"748","hard to install bardi avia android"
"749"," angka freeze  ude  "
"750","after a while using this all my device is offline ive already reset but still offline"
"751"," i  lamardi  versi bluetooth  dasarnya berfungsi  tada kekurangan    semada s listrik pln  setting jam on off  lamemua dilun    listrik pln nyala  lamtomatis   si on "
"752","ue yg skrg  gembel widget kadang ga berfungsi"
"753","mantangat membantu"
"754","i versi   berjalan  normal  kenaersi  terbaru  amburadul fungsinya smart  device on kebaca off scheduler smart   lenyaaya stay    deh"
"755","aasi bermasalah  devicenya  ue   resif  lag lemot aasinya  diaiki"
"756","very hel for migrating conventional devices to iot devices"
"757"," ue versi terbaru   berat  gk resif dibandingkan versi  l hya chinya snagon  taeterat masukan  bardi  fitur mall   aasi  dihasaja  konten  fitur  diubah formatnya su aasi bardinya   ringan"
"758","gg"
"759","ue setting schedule biar jam beraama  berubah warna dll"
"760","a very nice amanagement for all bardi iot devices sadly version  has bugs for smart plug single when using timer countdown the smart plug did turn off but the astill show timer running and on status please fix this asap ue problem fixed"
"761","the always lagging and sometimes the aicked me out"
"762","tuk smart switch wall gktnya  reset   hrus seting ulang"
"763","cool"
"764","hell"
"765","utk model terbaru ptz idoor  korban microsd rusak tolong diaiki bakekin aja  versi yg    function ing  ptz indoor terbaru  hilang motion tracking  human body filtering  tolong  aiki"
"766","abis ue info onoff  smart nya salah  on ts buka aasi  off uda d scroll down refresh  aja"
"767","i decide downgrade to  for my devices and the status back to normal the latest ue have several lem for device status which is off that actually on the scheduler always reset etc"
"768","i didnt get any motion detection alarm all of sudden i already cleared the cache and  notification on but still nothing is there any way to fix it"
"769","sayang  automation  kondisi onoff smart plug error  smart plug off tetai aasi on    schedule  normal   butuh automation  menghidu lamardi   menghidu smart plug  ham minggu error sei        aasinya mohon  fix bugs   t server"
"770"," ue aasinya   mematikan ngkat"
"771","statistic error after last ue device always shown as on even the schedule off"
"772"," error nih smart kyknya jd error massal"
"773","its just me or what after a while i realize light bulb rese to turn onoff or color change are faster in ok google instead in a say ok google to turn onoff or color change only take  or  sec while in aometimes i need to reothe ao do it and sometime it realy take some time to ligh color to change in already clear data and re install the app"
"774","notifikasi  muncul  hmantab tim dev nya "
"775","great aplease add an on to rearrange the cameras views"
"776","since new ue onoff button and timer doesnt sync with the hardware"
"777","kondisi power state smart plug  aasi  sinkron  ai refresh   versi    smart plug terconnect normal  network   coba re  faq unresolved aalah crash"
"778","every day i must turn off n turn on why"
"779","  kena device offline  online  mesti setting lg"
"780"," gimana sih   ue  smart  yg online  offlinesedangkan yg offline  onlinejadi bingungudah clear cacheclear datasama aja"
"781","i share smart ir remote  m to my brothers bardi account so that he can control the air conditioner too unfortunately it cant be control from his e"
"782","okeeee"
"783","  notif sensor gerak  suara stlh ue terbaru    tolong  aiki dl"
"784"," memunculkan card error   diformat twindownya  banget     sdcard khusus cctv yg ori "
"785","stelah ue   ngkat  bardi   fitur smartnya  error   if  on then countdown min ga   "
"786","bbrri   aya ngaco yah device yg nyala  aindikatornya mati device yg mati indikatornya nyala  bikin bingung kadang diet berkalikali tombol  atidak  res  yg ng fatal  device yg sy i utk menyalamatikan external hdd  mati  nyala    dii  rusak hdd  kalo  "
"787","the latest ue of this aakes bardi bluetooth light bulb always error could you  fix that kind of bugs or whatever it really drives me crazy love the ious version more"
"788"," ue  force close live view   i  cctv udah setahun normal  notifikasi sensor u ga jalan   a  uk siren alarm ga nyala   sebulan duhhh gimana bardi langganan kecewa gini"
"789","ga connect edit  berhasil connect"
"790","great app"
"791","buggy aannot receive notification after ue to android "
"792","motion detection  imera static   mendeteksi  motor  mobil  orang berjalan  terdeteksi"
"793","terimakasih lem   clear     mengakses aasi bardi   reinstall  hp"
"794","camera motion detection not sending notifications"
"795","notif  mi t pro  muncul"
"796"," gak   notifikasi  ad orang   gimana ya  ios    android  ue terbaru  gak   notifkasi"
"797","ye aahut aacha hai aur mai automeshion ka kaam kar raha hu to hamko bahut aacha laga mai aahome bhi kar rakha hu"
"798"," mati lam mati wifi  kedidirus  ganggu banget aa  lamintar kadang  gak kedetect   ing ulang malesin banget ui  ux aya  jelek gabakal beli uct bardi "
"799","   mendadak akasi    notifikasi   gerakan yg terekam  cctv  rumah  coba clear cache  reinstall aasih  solved mohon dibantu"
"800","ued latest version wont show notification on my bardi outdoor im  fix and will ue the rating"
"801","tambahkan fitur  mengganti sinyal wifi  ngkat cctv bardi"
"802","ue   loading  setting device"
"803","kereeennn uknya"
"804","fix your stupid connection issue you cant even fix it and now you added ads inside the app what an idiot developer poor ui stupid connection issue what a garbage"
"805","after the last ue my e doesnt get any notification alarm of door sensor when it oor close"
"806","since ue i cant get notification from cctv im bardi from this athis ue is bad"
"807"," membantu  mudah diaasikan dgn latannya saran harga alatnya jgn  mahal ya bardi"
"808","good"
"809","no notification for motion detect on samsung note and xiomi"
"810","barusan  cctv static outdoor cam  menginstallnya alhamdulillah berfungsi    siang  maumalam  memory nya  berfungsi yg  gb cukudak ya    ah  loogi klo  h memory nya"
"811"," ue aasi yg terbaru  ga  terima notifikasi  diue  menerima notifikasi  ga lemot"
"812","excellent"
"813","works well on my ious samsung note  but having hard time accessing the cameras on my new samsung s ultra any help"
"814","abis ue  gk  i ntah suara kenai kalo ue   aja yg ilang  tes   erornya kalo ue jgn langsung  launching"
"815","notifikasi cctv  mati listrik  berjalan"
"816"," a smart light wake ught ir remote smart socket  smart wallswitch    uk yanan helsk  teknisi bardi two tumbs u"
"817","push notifikasi smarte android  automation message  smart door  muncul   ue btw bardi tech suangat resif trims"
"818","aasinya  bagus taebih bagus    back hasil rekaman cctv  kecen   diatur    u menonton detik  detik terimakasih"
"819","awesome"
"820","lamardi wbt device connection failure  tialuar aardi  nyalainulang bt sma lokasi jg ribet ng gak blt aja gtu  ganti warna zzz"
"821","liking the ue cleaner ui a faster but too bad still no dark mode"
"822","i bought contact sensor recently and i have an issue with bardi notification on my samsung when the door is od i did not receive any notification at all even if the bardi as running please roll out the h to fix this"
"823","hafor the new ui  ormance ude very neat and swift with new smaller home tarun buttons performance is much more better since i have  devices running and more that are not ed yet"
"824","notifikasi  ah masuk  hande "
"825"," bagus talo  dioasi jg utk ngkat tablet ipad"
"826","it take too much s on storage can you just make it simand usefull dev"
"827","i am using several bardy devices and this acation work well to control and rammed all the devices its also able to works with google home however to ensure stable and fast connection ensure your devices connected to nearby wifi s ensure your devices has good wifi connection as control and ramming are goes through the devices via wifi just hohat bardy devices can go more cheaso i could buy more devices to turn my home into fully smarthome"
"828","wow the new uded areally crazy fast and good i never look u  store just to give comment like this love this aand com keeowing "
"829"," membantu"
"830","offline device gak   connect  walauudah  ue aasinya"
"831","iklan standing light nya  mengganggu tolong dihilangkan"
"832","the aeeking to login when i try to access"
"833","please add device widget x icon for home screen in the next ue some times we need to simturn device onoff in single click without ong the athank you"
"834","tambahin fitur schedule  ganti warna   ngga  on off aja overall bagus"
"835","bug   record video  internal memori cctv outdoor stc ip  smarte  "
"836","labug  menyalakan lamerkadang tombol onoff  aasi  sesuai  kondisi realtime lamlamidak offline   tombol onoff  aasi ditekantekan dinyalakan  dimatikan lamidak meressama   koneksi internet lancar  catu daya lamersambung     aasi bardi smart home server  firmware  lamardinya"
"837","  make bluetooth biar enak"
"838","tiabis mati lamemua devices gaberfungsi  mesti add ulang   sengaja beli beberaroduk bardi  rumah biar tis "
"839","lameinkink it destroy your eyes and cant connect what is wrong with you making blinking lam an indicator for no connection very annoying   jg offline  anjirrr aneh banget haaaaaaaaa kesall"
"840","cant sut g wifi  cant use the device also"
"841"," cctv gabisa liat back wlauudh  micro sd card eror mulu fungsi yg teri  liat live  cae o movements detection"
"842","resaasi  lambat banget     resif  sei  ios"
"843"," membantu    set han warna  scene  scene mode  diue   muncul custom yg  luas lg  han warna  scene  kustomisasi scene automation oyahh kalo bole ui aya  ditambahin fitur dark mode sdk  mata sakit  membuka aasi  kondisi gelanw great job bardi"
"844"," ue aasi  terbaru  kali tertulis device offline  jaringan wifi  bermasalah  restart aasi     "
"845","berfungsi cmn   aja setelahnya ngga kadang macetan  hidu matiin lamukannya  tmbh mudah mlh tmbh ribet"
"846","need dark mode asap"
"847","cctv always offline"
"848","good aeed to ime to sut mucrosd gb because it runs well on gb"
"849","evertime i oit always crash  closequit immediately"
"850","cant connect bardi smart light bt series with my device and also its hard to connect with my other device"
"851"," restart   kedadikin ng  harga  kualitas"
"852","please exn why bardi ed from my clird when started"
"853"," udah ikutin instruksinya kenaa  konek ni feeder"
"854","please ue facebook login method its broken i cant login using facebook"
"855","device  offline walauterkoneksi  wifi  membuka aasi   mengontrol device"
"856","remote ac so slowwww rese"
"857","the devices are on good network but the status are offline most of the time and they inocently just ask you to reset  re pairing this is not smart at all this is stupid"
"858","aasi   terbuka   install ulang tetak "
"859","bardi  gang switches  muncul   google home   switch  switch   switch all   switch     mengontrol via google assistant   switch  switch    switch  switch    dikontrol   muncul  google home"
"860","kerenkeren uknya"
"861","nice apps"
"862","aasi gak   wifi terbaca offline trus coba reset  reinstall aasi  gak  login  bardi"
"863","ga  login via facebook ue la"
"864","its make me u just to try ingan extension r socket"
"865","turning on my simlightbulb is like ing dice some days its flawlessly worked other time it will require you to change network force closing the aesetting the bulb and other sturitual just to turn it on the future looks cool with aontrolled gadget just not the one made by bardi"
"866","  bagus  dadi osikan melaui ngkat pcla"
"867","buruk  device   f andoid    cctv indoor ptz     cctv   private mode taasih   live nya  device  maudari device  ygdi share samskrg tdk  ue  megatasi bug  "
"868","this as not good use the smart life ar tuya life anstead of this one works way better"
"869","produk bardi mantaabzz pas   langsung ditangani team home care thanks bardi"
"870","please add on to disable audio recordings in case i want to cae video only with no audio"
"871","manta "
"872","it just ken crashing ffs "
"873","easy to use but not to stable the rgb scene not always keeer changes even after we submit  a the scene"
"874","min   klo  ngkat ah temgitu tetesa nyambung  aa ya"
"875","produk  yanan bagus sukses  bardi"
"876","gimana nih ganti hp seinya kemarin login via facebook taama facebook   decline ilang  settingannya mo setting  susah banget   auto t mode lamumah berjalan sesuai settingan  akun   aogin nya taamera ga  akses puyeng mo setting a air aja susah bener"
"877","aasi nya  membantu   device bardi"
"878","nice app"
"879","ok"
"880","   ga bagus aasinya matikan lam hidu lamaja ga   lambat  resya"
"881","keren bardi"
"882","led lamng canggih"
"883","aasi   bagus  membantu smart living"
"884","produknya bagus  csnya ramah good luck"
"885"," bagus beli  store cabang mkg semoga sukses "
"886","bagus uknya  csnya ramah best of luck bardi"
"887","   sema kadang connect kadang gak infrared nya agi   remote  gak  dicover    taungsinya gak lengkaft tolong  diaiki"
"888","good uct"
"889","mantaaim garansi mudah terima kasih bardi"
"890","led nya keren  diatur dr hp"
"891","good service"
"892","my lam on but it says offline really cmon man"
"893","wow bagus membantu hidup"
"894","my automation bardi lamt working with schedule set"
"895","nice ao have a smart home"
"896"," serius ngasih iklan   aa  launch udah gitu gabisa  skigi kudu nunggu  tau  ngeluarin uk   kerenkeren taalo aasinya  kasih iklan gini mah user exencenya  jelek banget easy to use but sorry i only give  star because of the ad"
"897","uknya  belimasa aasinya  iklannyase deh"
"898","bardi is a must have for all aments and houses it comes handy and easy to use"
"899","this ashouldnot have any adv for the very first ong a if we in hurry it is so troublesome"
"900","im using this aas ive hased  cctv everything works fine until today advertisement seriously ads everytime i othis aits really disturbing can you develo imagine the emotional feeling of a cctv user everytime received a notification on their e and have to wait  seconds because of the ads one of the reason i choose bardi from any other brand with comtive e range is because bardi is adsfree aim ho of an adsfree aon next ue thx"
"901","you need to do something about this a ty sure my internet is okay but still cant connect to the smart bulb"
"902","good quality and good service for installation"
"903","first of all im ty sure that my lam turned on but the aetected that my lam offline its really annoying because i cant do simthings like turning on and off the lam come on its been like forever that this aoes this and last really ads"
"904","ayang berguna  smart  nya mohon ue nya min al informasi ngkat smart    rinci "
"905","nice"
"906","alhamdulillah asalahan aasi yg   jalan  android   diatasi  njuk  arahan  heybardi tech sut semoga ue resminya   yaa"
"907","why cant i change light color in automation and ta run mode"
"908","bagus memudahkan  h inovasi"
"909","   lancar  kota  buka aya force close  please fix it problem  direvisi dihubungi via wa dgn trknisi   aue terima kasih bardi"
"910","aasi berjalan normal  smarthe"
"911","good"
"912","aasi berjalan  normal"
"913","barang berkualitas  multifungsi  varian nya   berguna thanks bardi"
"914","permasalahan   ditangani   tetaka muncul uor   menyalakan bluetooth  gungkin sinkronisasi  ah    es nya  kadang  restart aasi but thanks for recommending that number so i can get rid of my issues welldone "
"915","force close teros"
"916","beli r extension    trus kena air  jd rusak hubungi cs  ga   service   garansi manteh duit rb an jd sampah"
"917","i cant get any list of tv to be added its weird other aances seems okay"
"918","ga d ue  android  force storus ga  ngan  hag udh android  s ultra g parahhh"
"919"," make ac version it would be better if you can monitoring cctv from larger screen or controlling lights from comr when you are working in front of comr"
"920","ga   buka lg skrg aya tiaka crash  jd ga bs  stontak wifinya tlg  aikin  aya"
"921","lamw eror mulu"
"922","jelek sejelek jeleknya badbanget susah settingnya  connect  devicenya aja  cem koneknya"
"923","too much error nowdays"
"924","gak  dibuka  android  samsung s ultra"
"925","works very well no issue at all"
"926","why it kerashing on one ui "
"927","aasi loading tiada henti  muncul no network  sinyal wifi  internet cukuat"
"928","beneran jelek  software command kadang jalan kadang ngga   ga jalan sih  fungsional software buruk taroduk bagus mohon rammer  kerja keras  wkwkwkwk"
"929","the run ectly until recently anly ofor just one second and force sto it self now i cannot control all of my bardi device"
"930"," star for dark mode"
"931","halo bardi tolong dibantu ue anya stelah ue  android   samsung s ultra  skrg aelalu crash setiabuka"
"932","bug  static outdoor cam  udah  sdcard yg memenuhi minum syaitu sandisk ultra microsdxc class  original setiabis katasnya back error  gak recording      auto delete solusinya  mesti format sd card setiaminggu  berfungsi normal  menyebalkan"
"933"," software hmsung  ue cctv langsung   connect"
"934","ui ny ribet drag n dronimal   desain room ny jgn model browser tab taolder kaya win exer  kalo  kasih fitur disar  all device  ganti unassigned kalo  rumah   engga  bngunan rumah say m x m x lt  ng an switch  lusinan socket   ngonekin  ajuga kadang susah  reset beberaali  alag internet mb wifi mesh  konek g brosis say ngasih suggest bkn utk dihatauat im  a"
"935","the smart socket works out well for me masukan  embang aasi kalo  aasinya dibikin   format landscaiar nyaman   tablet"
"936","when release new ues for android "
"937","dg vivo v tdk  konek "
"938","arashed after uding e software to the latest version android   fix it and ue i use much bardi devices at home which unable to use now"
"939","fitur musik  lamya  akurat  sesuai  musiknya"
"940","tolong diue  android      terimakasih"
"941","  eror crash ga bs diadi samsung s ultra"
"942","works great with new ue etc  add widgets so i can change light tem color without ong app"
"943","its been  weeks since android  and you havent ue your a it doesnt work with android  for security camera its very crucial i even bought other brand because your camera is not working not buying this brand anymore"
"944","i used this afor months and its working great but since the software ue for one ui  i cant use the at all it keerashing please fix this issue"
"945"," ngebug  abis mati lamiba  lamardi kedidiiring       local ap doang  reset ulang "
"946","aidak  dibuka force close   ude  os android  mohon erahannya"
"947","comment for the android tv ahe multi channel iew doesnt have a button to confirm  remember the selected multi camera when you have more than  connected camera"
"948","aasi bardi tibatiba error  ikuti uan tetaja   mohon bantuan  solusi   "
"949","android  ude   aasi nggak  jalan"
"950","not working on android  please hel fix"
"951","doesnt work at android "
"952"," widget   simkayak x taecil"
"953","hel"
"954","kenaa  connect  tv udh d scan barcode nya"
"955","review    fitur sorting motion detection  asc  desc    yg ng  adlh yg ng terbaru   lihat     scroll     filter range motion detection berdasarkan  contoh   lihat motion detection yg tercae  selang jam  samjam     alarm  klik view  diarahkan   kejadian taiarahkan  live camera"
"956","after ude asystem samsung galaxy s cannt othis aanymore"
"957"," fix bardi acrash on android  samsung s ultra "
"958","hi ive been using bardi for several months  homes and it is a great exence for me but recently ive uded my e to android  samsung oneui  and the aee crashing can u  make it comble  "
"959","its useless because the smart switch that i bought at the online store doesnt have a memory comnt to save settings when the r is turned off from the source a very fatal flaw and not worthy of being called a smart home tool its just a waste of my time because every time the r goes out i have to make the settings again one by one and the most annoying thing is that every day the tool can turn on or off itself like someone hacked it"
"960"," bingung banget masangnya untung csnya ramah banget ngasih tau samerhasil trimakasih yah semoga rezekinya csnya lancar "
"961","how to connect two smarte in one bt w rgbww bulb"
"962","aasinya   intuitif  gak tolong tambahin otomasi   intuitif   kalo listrik rumah jeglek dihidulama   hidu siang  paham maksud  gk   seting  lamidur     salah si aasi  otomatis matiin  karna     siang  no alasan   janji kasih bintang   teteke bardi"
"963","the widget very unresive so its take a long time to activate my device how long to waiting bardi fixing this"
"964","pake bardi  nggak u was was  kalo  ninggalin rumah   aktifitas  rumah   au   aman  nyaman   tinggal kemana "
"965","  ue  kacau  ir remote existing daikin  error  ue onoff fan  suhunya add ulang ac daikin normal  test jalan  kode    dii    ue suhu fan  on off  aasi ir remote   restart   meresahkan   gimana  serumah i bardi   gini  "
"966","kenaiba gak  konek  ac  ya    konek  bagus   ir remote trus uda coba direstart  konekin ulang tetea remot ac nya gk fungsikenaih bardi"
"967","add widget plz"
"968","hey  re this issue i cant login to my account it always shows network request failed please try again later"
"969","pot unexed token  in json at tion  and i cant access through google nest mini"
"970","good and useful"
"971","i love your uct but  make the areater its suck make more feature and more user friendly i feel like its kind a hard to make some et and i feel like its lack of feature and not convenient  we already buy your uct now make the aetter"
"972","please add dark mode"
"973","overall exence bardi is one of the best smart gadget ave ever use good job"
"974","it is a very good aor free but only few brandmodel of devices available ir control sally those old model of devices altec lansing"
"975","i cant login using facebook"
"976","aidak   pairing  berfungsi  rekomendasi barang nya bardi pairing nya ribet  susah"
"977","widgetnya  ue terbaru  ga berguna shortcut suka hilang  buka aasi   muncul   udah buka aasi nga  widget shortcut  udah langsung eksekusi  aasi semoga kedeya shortcut widget berfungsi normal "
"978"," ue terdamasalah serius  versi     ing  ngkat  hp  wifi yg   berjalan lancar meskitidak terkoneksi  jaringan yg  tetaetelah ue aasi     jaringan    aasi derjalan  lancar tolong aiki sistemnya sei "
"979","keedated"
"980","aasi sampah"
"981","notification error"
"982","anya bagus  mudah   jari semoga kedeya  maju     fiturfiturnya"
"983","cukuas  uk bardi semoga kedeya  berkembang ya"
"984","aasi oke banyakin toko aja  ya"
"985"," lamadang schedule  bermasalah   mati case kadang  lamiarinya tolong  aiki   ue lancar aja"
"986","ok"
"987","suddenly the lam flickering by itself and not synch with my hande its hurting my eyes this is my first and last time using this lamm done"
"988","clearly you guys need to ime connection between smart bulb and cloud its been several months and i dont see much imement mostly i need to wait around  min to turn lam and off which is unaccele for me"
"989","seems like aor device like led bulb is unstable sometimes can control led bulb to switch non and off sometimes cant wifi signal strong and can browsing others and covered the led bulb area why it still haing till now hoo be solved in soon thanks"
"990","sukak  tamn aa"
"991","good enough"
"992","masang doorlock  aemen sewaan  ga u cod tiaa  nyewa"
"993","very useful  easy to use thanks"
"994","since  days ago all my devices are not recognized by alexa what has"
"995","bug nya tolong  benarkan    berah  white color scene menu nya  berubah  warna   geser warna lamidak berubah"
"996"," orang kerumah  nanyain   lamang tinggal ngomong langsung nyala mati  hahah  bardi nih"
