"","klasifikasi","score","text"
"430","Netral",0,"every i othis always force me with the notification that his said need to clear the data because the aailure to start many time is this aunning remothly without knowing by me and i have to reinmy user id and word after i clear it and the worst thing is the lem still ha"
"431","Netral",0,"however still ty room for imement"
"432","Netral",0,"oke sii  sulit"
"433","Netral",0,"amazing  user friendly"
"434","Negatif",-1,"kalo  ngomong  et tombol jd klo dr ruangan ngomong bersamaan ga  kedengeran"
"435","Negatif",-1,"the aeeow formating today everytime i othe ait said formatting  if i  x it back to main  after the sdcard error thing that i found the mistake not the sdcard but something with bardi firmware and theres no other lem then this ha i dont know if after the ue it make it better or worse after turn off the ipc for hours the formatting notif disar"
"436","Netral",0,"simmart"
"437","Netral",0,"helly"
"438","Netral",0,"good and nice"
"439","Netral",0,"great"
"440","Netral",0,"good app"
"441","Netral",0,"cukumudahkan"
"442","Netral",0,"goodjob bardi"
"443","Netral",0,""
"444","Netral",0,"good"
"445","Netral",0,"iot  very useful"
"446","Netral",0,"amazing app"
"447","Netral",0,"good uct and aation for realtime cctv easy to install helk give solution for fix lem but  for next ue can sort all devices based on item category"
"448","Netral",0,"nice control cctv"
"449","Netral",0,"good"
"450","Netral",0,"nice"
"451","Netral",0,"niceeeee"
"452","Netral",0,"i need the customer sut helut the number that written on the as uncotactable"
"453","Netral",0,"user friendly"
"454","Positif",1,"bagus bening  full hd"
"455","Netral",0,"please add inching on and i will buy more bardi smart "
"456","Netral",0,"the as okay but  make a dark theme too because the white background is too bright when i turn off my lamth this app"
"457","Netral",0,"sometimes take a long time just for load the lamvice at home menu "
"458","Negatif",-2,"kenauka gak  diklik ya menu    klik common function doang tolong aiki bugnya"
"459","Netral",0,"nice bangeett"
"460","Positif",1,"aasinya bagus  menarik"
"461","Positif",2,"bagus banget kamera  rubah si"
"462","Netral",0,"mantaedbd"
"463","Netral",0,"so far so good"
"464","Positif",5,"  membeli versi cloud  ip kamera bardi tetaembayaran  tersedia  versi kartu kredit al  midtrans   ler  ayaran ewallet sei  beredar diran indonesia   memudahkan   berjualan fitur berbayar  indonesia    saran  angkat kaki   r memudahkan  meribetkan     terjebak diyaran paypal"
"465","Netral",0,"simbut incredible"
"466","Netral",0,"so good"
"467","Netral",0,"nice acation"
"468","Netral",0,"cuman gak bs matiin bunyi alarmnya aja"
"469","Netral",0,"good smart homme"
"470","Netral",0,"mantabs aasinya  kekurangan kadang suka off  resolusinya   mantab sih  oilihan thd tools    tools  bs  mggu bardi  menangkahari  but thank you"
"471","Positif",1,"bagus"
"472","Netral",0,"very bad"
"473","Netral",0,"good and good"
"474","Positif",1," ngosiinnya mudah  nyaman  "
"475","Netral",0,"nice and clear view"
"476","Netral",0,"very easy to use n com"
"477","Netral",0,"good aor smart home but its very slow if you many add device thanks"
"478","Netral",0,"good"
"479","Netral",0,"mantaps"
"480","Netral",0,"good"
"481","Netral",0," cerenya   ue"
"482","Netral",0,"this ats buggy in my e redmi note  always forced out pls dev fix this"
"483","Netral",0," ardi smart home failed at several to start several time restore it by clearing its history"
"484","Netral",0,"cant install app"
"485","Positif",1,"mantab bgt gam ingny"
"486","Negatif",-1,"mantarus  ime ya"
"487","Netral",0,"good"
"488","Netral",0,"love love the uct but the atself is really buggy it takes forever to load i thought it was just my e but ive tried on multiesdevices along with ios"
"489","Netral",0,"can do more with voice command"
"490","Netral",0,"aun very slow  jme it"
"491","Netral",0,"good a"
"492","Netral",0,"sometimes offline need ing again"
"493","Netral",0,"ok"
"494","Netral",0,"aturan lamering   dibuka"
"495","Netral",0,"cool apps"
"496","Positif",3," tulung rgb sync  musiknya ditingkatkan ditambah modenya asli   asik euy  meriah "
"497","Netral",0,"easy to use and tical"
"498","Negatif",-2," kenakrg tiaka  muncul ulang butuh clear history udh  klik   muncul    log out"
"499","Netral",0,"smart"
"500","Netral",0,"puas bgt kamar  hitech i uk bardi konfigurasi mudah bgt  mudah diosikan skarang keut bgt sm smart doorlocknya"
"501","Negatif",-1," dgn   ac daikin  otomatisasinya      adwalan berdasar "
"502","Negatif",-2,"penyakit storage   format  muncul stelah kaian kurleb  blnn error formatting  slalu muncul  screen al sdh diformat  h cs ybs  sy menformat ulang sd card  komrkrn letaknya  mlm   tdk berhasil mencabut sd cardnya tehnya otomatis jd   blum dianmgkn kena goyang ya  storagenya free lg    skrg storagenya sisa gig kambuh lg itnyaminta diformat lgerror yg samaini lgs beli t dgn sdcard  bardi"
"503","Negatif",-2,"semoga  berkembang    ue ue adan firmware  memaiki bug bug  so far is so good"
"504","Netral",0,"good ormbut some times lagging for bt device connection"
"505","Netral",0,"easily set ud daily access"
"506","Netral",0,"great"
"507","Netral",0,"aasi sumantaaabbbs"
"508","Netral",0,"nice for home"
"509","Netral",0,"butuh aasi  monitoring via desktoc la"
"510","Netral",0,"jozzzzz"
"511","Netral",0,"great"
"512","Netral",0,"mohon bantuannya bardi smart ip camera hd cctv wifi iot homeautomation    rekaman  aaat microsd dicek manual  "
"513","Netral",0,"good"
"514","Positif",2,"sayang  utk uk oke tautnya krg  alangkah     setting timer    tinggal ketik angka   gak  i scroll  setting re schedule    centang menu everydayweek  sekian kali  temertentu tdk hny manual h   ue udah   aasinya gitu aja blm diue utk jdi  "
"515","Netral",0,"nice"
"516","Positif",1,"bagus"
"517","Netral",0," aasi  oke  membantu  mudah "
"518","Positif",1,"aasi bardi suka offline   koneksi wifi bagus   sei   ngeren  remove  reconnect ngkat"
"519","Positif",1,"fitur mantan mudah"
"520","Netral",0,"works with google assistant really cool but the a rese is very slow even m away from the router and  add dark theme d"
"521","Netral",0,"mantalutionsnya"
"522","Netral",0,"mudah  kontrol  bermanfaat  ga u bangun  matiin lamatau bs hidulamaat lg   rmh tdang eror kediendiri lamalo  switch on  sakelar kalo mattinri hp"
"523","Positif",1,"keren bgt serasa  ironman"
"524","Netral",0,"good"
"525","Positif",1,"  ue beberaari  softwarenya   urus memilih clear data history  cancel   uninstall    kenaa "
"526","Netral",0,"nice"
"527","Netral",0,"good aation"
"528","Netral",0,"mantanan"
"529","Netral",0,"overall is good "
"530","Negatif",-4,"aasi  bagus  harga  tergolong  terjangkau  berguna  mengatur mati hidumeras   orang atausaat rumah kosong sut  jam via wa     membantu  luoneksi internet wifi  beraruh sy memakai biznet home  wifi  rumah bardi to"
"531","Netral",0,"make life easier"
"532","Positif",1,"memudahkan hidukaliii"
"533","Netral",0,"baguslaa"
"534","Netral",0,"semoga   "
"535","Positif",1," asik bgt loh kalo  bs nyesuaiin cahaya sm mood d kamar "
"536","Netral",0,"niceeee"
"537","Netral",0,"terkadang eror"
"538","Negatif",-1,"koneksi bermasalah"
"539","Netral",0,"aasinya bagus fast resga lemot bardi top "
"540","Netral",0,"nice aand hardware"
"541","Positif",1,"keren dah"
"542","Netral",0,"gud"
"543","Netral",0,"satisfiednodoubt"
"544","Netral",0,"very nice athank you"
"545","Netral",0,"great"
"546","Netral",0,"iot timee"
"547","Netral",0,"after recent ue my light bulb is not very resive idk why sometimes when i turn on the light the button is on but not my bulb i try reing and still has the same behaviour"
"548","Netral",0,"grat"
"549","Netral",0,"nice"
"550","Netral",0,"i cant osettings in outdoor cctv i cant reset memory and today i have accident to record but since i cant emsince those accident not recorded your outdoor cctv is rugged evertime i tried to make a change it close or freeze and not resing"
"551","Netral",0,"smart kaleee"
"552","Positif",1,"wow indonesian brand for modern home solution"
"553","Netral",0,"instalasi  tis  mudah"
"554","Netral",0,"nice bardi kee up"
"555","Netral",0,"software has no lem but quality of uct is worst cctv often facing error unable to detect memory card"
"556","Positif",1,"ekosistemnya bagus bikin suasana rumah  hiduya  gam dii "
"557","Netral",0,"good"
"558","Netral",0,"user friendly"
"559","Netral",0,"very good"
"560","Netral",0,"no leg"
"561","Netral",0,"good"
"562","Netral",0,"easy to use"
"563","Netral",0,"the smartest acation who make any device automate good job"
"564","Negatif",-1,"manteb  electrical rumah  smart"
"565","Netral",0,"esay to use minimal hassle good job "
"566","Positif",1,"lumayan walauada delay sekian detik  live"
"567","Netral",0,"best aand lamp"
"568","Netral",0,"fungsional"
"569","Positif",1," mudah  aasi   bagus"
"570","Netral",0," nyalain nya  nyambung  hp aja kadang  kadang kaga  nyalain aja susah banget"
"571","Netral",0,"easytouse"
"572","Netral",0,"very good"
"573","Netral",0,"good uiux easy to understand and use"
"574","Netral",0,"mudah  aasikan  setting "
"575","Positif",1,"aasi nya keren berfungsi dgn "
"576","Netral",0,"best"
"577","Netral",0,""
"578","Netral",0," membantu"
"579","Netral",0,"nice and very useful"
"580","Netral",0,"affordable high tech cctv"
"581","Negatif",-2,"aasinya mudah   realtime notifikasi   erakan  suara   ng  cctv  kos   cctv  rumah"
"582","Negatif",-1,"aasi  rumah ar "
"583","Netral",0,"mantanget e to ormance nya mantardi"
"584","Negatif",-1,"smart automation nya kadang berfungsi kadang  berfungsi   reliable  kalo u fungsi automation  reliable   cari brand  aja"
"585","Netral",0,"it keeps telling us it failed to start several times it forces us to restore and clear history immediately after we click yes and restore the application still showing the failed to start window"
"586","Positif",3,"bagus terima kasih"
"587","Netral",0,"good uct and user friendly apps"
"588","Netral",0,"very hel solutions and good technologies"
"589","Positif",1,"device bagus instalasi mudah   bs termonitor  mantap"
"590","Negatif",-1," membantu menjaga keamanan rumah"
"591","Netral",0,"cctv quality is good but the micro is not good or maybe the internet connection lem"
"592","Netral",0,"easy to install and ote daily"
"593","Netral",0,"only one device can control in one uct its good when in one uct can conect or controled by saved multidevice"
"594","Netral",0,"kereennn"
"595","Netral",0,"smart acations"
"596","Positif",1,"bagus"
"597","Positif",1,"bagus sih taonektivitas smart device  aasi smarte kadang  terhubung  menyala  loading aasi     ditingkatkan widget  daditingkatkan  orm task daberlangsung  celagi"
"598","Netral",0,"aasinya mudah   tamn sederhana"
"599","Netral",0,"mudah  fitur nya  lengkaangat membantu  monitor rumah dr "
"600","Netral",0,"adain picture in picture  cctv   ngerjain    nontonin cctv doank ga efisien banget   nontonin cctv ga  ngerjain    hande"
"601","Netral",0,"exellent"
"602","Netral",0,"good"
"603","Netral",0,"easy to access"
"604","Netral",0,"the ais great and works always"
"605","Netral",0,"friendly user"
"606","Positif",3,"uknya bagus taenaetiastrik m dr pln   hidugi lamardi  terkoneksi  aasi bardi offline  kondisi wifi lancar jaya saklar listrik  mesti  off   trus  onkan    terhubung  smarte      lamardi  kecuali lamed strirdi aman aman   listrik pln  m"
"607","Negatif",-2,"  ime taalah  menurun performa lambat  siknronisasi   lambat  android stabil  handr memadai   uninstall  reinstall  restart hp  aya   menurun ormanya sucks"
"608","Netral",0,"gam setting nya konek wofinya lug n "
"609","Negatif",-2,"ue  cctv nya skrng  ga kebaca memory nya  tetangga jg ae firmware ya"
"610","Netral",0,"good"
"611","Netral",0,"mantat  bardi yg gw seneng  bs sharing control  bardi  keluarin  smart home saran  bardi kalo bs keluarin   lg new smart home sei vacum cleaner dll"
"612","Netral",0,"nice"
"613","Netral",0,"excelent exence"
"614","Netral",0,"awasome"
"615","Netral",0," bagus dr merk sebelah yg terkenal gak ah error"
"616","Positif",1,"mudah  andal"
"617","Netral",0,"very good n useful"
"618","Netral",0,"mantebb gambar tajam harga murah"
"619","Negatif",-1,"dianyak  ya model automationnya"
"620","Positif",1,"aasi berfungsi   fitur lengkan berjalan lancar"
"621","Netral",0,"good a like it"
"622","Netral",0,"oke  menemukan kendala    ukuran widgetnya   khusus  r lamterus  lamluetooth      widget"
"623","Positif",1," menemani   lumayan membantu walaubanyak ruang imement anyak sut ngkat tuya global"
"624","Negatif",-1," aasi kenaa    device yg     error   device kebanyakan berstatus offline    nyala kalo  kebalikannya  keliatan online  offline   onoff    reaksi mesti refresh berulang   ganti aja  merk  kalo kayak gini  aasinya smart  stuya"
"625","Negatif",-1,"  fitur if  smart   tambahkan    lamarasi  link  dg sensor gerak    erakan lamarasi nyala aat   gerakan  off tka   schedule yg  aktif  lamsb   schedule on     gerakan  off  lamarasi terkadang  schedule yg on delay utk sensor menyalakan lamangga    shg orang sdh selesai  tangga  nyala"
"626","Negatif",-1," gak res udh diet  aaamya tete berubah cerah terang nya  kalo dimatiin ga  nyala udah  sync ulang  gitu  jelek aya gak sync ama smart object nya"
"627","Netral",0,"good"
"628","Netral",0,"susimelegant and affordable thankyou bardi"
"629","Negatif",-2,"lamya  tibatiba nyala mati   u  configure ulang reconnect the router tag ng menyebalkan  automation nya ikutan  remove  u bikin lagitolong aiki"
"630","Netral",0,"helly"
"631","Netral",0,"love it"
"632","Positif",1,"agaede banget si isinya iklan doang  gabisa naroh  drag down menu  onoff nya"
"633","Netral",0,"best aever i can check my nts from far away"
"634","Netral",0,"hello why some of my device wont connect with the google home"
"635","Netral",0,"amazing you can control your aances at home remotely"
"636","Negatif",-1,"mengontrol rumah   genggaman   mudah  tis"
"637","Positif",2,"kenaidak  install aasi bardi smart home  samsung galaxy j pro keterangannya your device isnt comble with this version  os  google store  ued latest version  mohon bantuan nya thanks"
"638","Netral",0,"berfungsi  "
"639","Netral",0,"bardi is nice thank you"
"640","Positif",1,"murah mudah bagus mantaa"
"641","Netral",0,"otomatisasinya    mantap"
"642","Positif",1,"mode warna   dih kadang kadang"
"643","Positif",1,"mantatelah  ue a firmware device nya  udah stabil watt meter udah realtime tordi aftersales nya jg  resketika  "
"644","Netral",0,"mantaya"
"645","Netral",0,"nice app"
"646","Netral",0,"  lost"
"647","Negatif",-3,"fitur back  berfungsi  ue gk tau deh record  berjalan normal  gk interfacenya  membingungkan  ribet saran coba  sei album   mudah   memutar ulang rekaman video   dir"
"648","Netral",0,"good"
"649","Netral",0,"cakep"
"650","Netral",0,"kerenn"
"651","Netral",0,"practicable simand usefull"
"652","Netral",0,"good"
"653","Positif",1,"memudahkan"
"654","Netral",0,"easy to use but rfull"
"655","Netral",0,"mantamemudahkantingkatkan keamanan  amankan database data min"
"656","Netral",0,"   fitur timer khusus nya   atur kaharus nyala kaharus mati  god job "
"657","Negatif",-1,"beli  tertarik automation ip camera link to siren alarm trigger berfungsi  tyndoor ptz tantuk outdoor static cam bardi   berfungsi motion detectionnya  sebatas notifikasi   trigger  siren alarm aneh tolong diatikan ramming firmwarenya  lihat    variable mismatch  variable yg maannya  uniform   ditulis detection disana ditulis detected   ebab trigger tdk bs pls fix"
"658","Netral",0,"mntap"
"659","Netral",0,"user friendly"
"660","Netral",0,"good app"
"661","Netral",0,"muantullll tenannnn"
"662","Netral",0,"good job"
"663","Netral",0," ku kdg suka gk sinkron dri ha    aya mudah "
"664","Netral",0,"fantastic"
"665","Netral",0,"easy to use integrate to google assistant but slow loading"
"666","Netral",0,"amazing simand effectiverealy nice"
"667","Netral",0,"great job"
"668","Netral",0,"so far so good memuaskan"
"669","Negatif",-1,"suka ga connect"
"670","Netral",0,"layan  membantu  keseharian"
"671","Positif",1," merasakan full manfaatnya   beli  uk ta oke banget barangnya"
"672","Netral",0,"good acation"
"673","Netral",0,"easy to use"
"674","Netral",0,"cukuh  ngecek doang"
"675","Netral",0,"alek"
"676","Positif",1,"aasi yg  mantab"
"677","Positif",2,"flexible  dibawa kemana aja  manfaat banget karya anak bangsa"
"678","Netral",0,"good cctv monitoring app"
"679","Netral",0,"good"
"680","Netral",0,"lg  lem aa  aasi nya eror mulu nih"
"681","Positif",1,"ngkatan aasinya cukugnifikan after salesnya  oke banget"
"682","Netral",0,"nice easy to use"
"683","Netral",0,"easy to use"
"684","Netral",0,"memuaskan    load  camera        iklan"
"685","Positif",1,"aasi berfungsi     bermanfaat"
"686","Netral",0,"hazicha i miss you"
"687","Netral",0,"ui cakemakaian mudah tnaurang resive yaaa suka h  dalem app"
"688","Netral",0,"mantafff"
"689","Netral",0,"camera static ui back control very sucks suddenly moves when the slider released"
"690","Positif",2,"terima kasih admin  resya   beres   hardware reset"
"691","Netral",0,"memuaskan"
"692","Netral",0,"aasi  memuaskan mudah regristrasi  gam akses nya"
"693","Netral",0," membantu"
"694","Netral",0,"usefull simand tise"
"695","Netral",0,"user friendly easy to navigate and direct link to customer service in case you might find any lem"
"696","Netral",0,"senang   au rumah  atur lamumah  beian"
"697","Netral",0,"hell"
"698","Netral",0,"mantul"
"699","Netral",0,"nice app"
"700","Positif",1," u ditingkatkan  atasi koneksi ters diudah"
"701","Negatif",-2,"  dgn layanan after salesnya cctv  umur   rusak krn kemasukan air   es  klaim diganti   ga  "
"702","Negatif",-1,"msh ribet n  user friendly"
"703","Netral",0,"bardiii kereeen"
"704","Positif",1,"the best k nya  au kluarga   negri kerja  tenang makasih bardi"
"705","Netral",0,"good"
"706","Positif",1,"mudah murah tis berkualitas"
"707","Netral",0,"the amakes life easier user friendly and its very simto used"
"708","Positif",1,"butuh ue  view kamera sei en kamera  samx klo  d  x  x  fitur automation  u   mudah karna  false detection"
"709","Negatif",-2,"indoor cctv nya kereeenn two ways communication taayang camera ga  gerak ngikutin motion detection  kirim notif aja    yg bergerak overall satisfy"
"710","Netral",0,"very good"
"711","Netral",0,"very good acations"
"712","Netral",0,"lancar  cek cctv"
"713","Negatif",-1,"   view  alarm renya   r siaran live gimana "
"714","Positif",1,"bagus"
"715","Netral",0,"slow ose use cache"
"716","Positif",1,"keren"
"717","Negatif",-2,"mantangosian mudah tinggal klik klik  beres  ing  wifi"
"718","Netral",0,"good functionality"
"719","Netral",0,"mantap"
"720","Netral",0,"great smarthome acation"
"721","Netral",0,"not a single day without it"
"722","Netral",0,"bagus taerkadang lemot"
"723","Netral",0,"user friendly so much"
"724","Negatif",-1,"after i ue the aeerce closed not resing please fix it or can i downgrade the a"
"725","Netral",0,"very handy"
"726","Positif",1,"terbaik"
"727","Negatif",-1,"versi  bermasalah  bardi motion sensor dimana suara notifikasi   berfungsi   delay yg cukuma   versi    berjalan lancar      tanda ue aikan   tera   aasi "
"728","Positif",1,"beberaerangkat  daftar smart ir bardi    dikenali  google home sei audio samsung      list google home samdi hadan tambahkan berkali   tetaidak   on off  google assistant dibanding uk smart ir merek   tuya audio   maksud   muncul  list google home   dikontrol on off perangkat  ok saklar   breaker berjalan sema  ringan   aasi smart life"
"729","Positif",2,"lumayan bagus"
"730","Netral",0,"nice"
"731","Netral",0,"thanks bardi"
"732","Negatif",-1,"kadang suka susah dikoneksinya    tia"
"733","Netral",0," fungsional"
"734","Netral",0,"excellent"
"735","Netral",0,"canggihhh"
"736","Netral",0,"good acation "
"737","Positif",2,"mantab serba otomatis  scedule hemat listrik"
"738","Netral",0," decice    delay lelet aasi nya router  i sut  device  bardi  an device udah delay  detik   buka infrared remote versi m lamjuga   delay sei serveraasi cloud bardi overlad"
"739","Negatif",-1,"aasinya  diue   kacau urutan cctv   berantakan     frame  sesuai  urutan   males beli uk bardi nyesel  terlanjur beli  kamera"
"740","Positif",1,"  ue terbaru   lancar  cctv nya good job device samsung s ultra"
"741","Positif",1,"user interface  bagus "
"742","Netral",0,"  fullscreen   samsung chromebook   memasuki aang  x  log in   ama kali install aan log in  fullscreen  dibuka   kalinya    fullscreen  tolong  aiki trimakasih"
"743","Netral",0,"ac nya    swing"
"744","Negatif",-1,"skema automasi gagak mulu  ue tanggal   gak  automation nya benerin  bug nya  security sistemnya gk bener"
"745","Netral",0,"aeda aasi bardi smart home  bardi smart home for tv "
"746","Netral",0,"    iklannya sam"
"747","Positif",1," ue firmware  smart    disconnect  hngan smart nya  ue bardi home versi terbaru taidak membantu smart    ue firmware    ue  chat  cs  nggak  lem solvingnya"
"748","Netral",0,"hard to install bardi avia android"
"749","Netral",0," angka freeze  ude  "
"750","Netral",0,"after a while using this all my device is offline ive already reset but still offline"
"751","Negatif",-1," i  lamardi  versi bluetooth  dasarnya berfungsi  tada kekurangan    semada s listrik pln  setting jam on off  lamemua dilun    listrik pln nyala  lamtomatis   si on "
"752","Negatif",-1,"ue yg skrg  gembel widget kadang ga berfungsi"
"753","Netral",0,"mantangat membantu"
"754","Positif",1,"i versi   berjalan  normal  kenaersi  terbaru  amburadul fungsinya smart  device on kebaca off scheduler smart   lenyaaya stay    deh"
"755","Negatif",-2,"aasi bermasalah  devicenya  ue   resif  lag lemot aasinya  diaiki"
"756","Netral",0,"very hel for migrating conventional devices to iot devices"
"757","Positif",3," ue versi terbaru   berat  gk resif dibandingkan versi  l hya chinya snagon  taeterat masukan  bardi  fitur mall   aasi  dihasaja  konten  fitur  diubah formatnya su aasi bardinya   ringan"
"758","Netral",0,"gg"
"759","Netral",0,"ue setting schedule biar jam beraama  berubah warna dll"
"760","Negatif",-1,"a very nice amanagement for all bardi iot devices sadly version  has bugs for smart plug single when using timer countdown the smart plug did turn off but the astill show timer running and on status please fix this asap ue problem fixed"
"761","Netral",0,"the always lagging and sometimes the aicked me out"
"762","Negatif",-1,"tuk smart switch wall gktnya  reset   hrus seting ulang"
"763","Netral",0,"cool"
"764","Netral",0,"hell"
"765","Netral",0,"utk model terbaru ptz idoor  korban microsd rusak tolong diaiki bakekin aja  versi yg    function ing  ptz indoor terbaru  hilang motion tracking  human body filtering  tolong  aiki"
"766","Negatif",-1,"abis ue info onoff  smart nya salah  on ts buka aasi  off uda d scroll down refresh  aja"
"767","Negatif",-1,"i decide downgrade to  for my devices and the status back to normal the latest ue have several lem for device status which is off that actually on the scheduler always reset etc"
"768","Negatif",-1,"i didnt get any motion detection alarm all of sudden i already cleared the cache and  notification on but still nothing is there any way to fix it"
"769","Positif",1,"sayang  automation  kondisi onoff smart plug error  smart plug off tetai aasi on    schedule  normal   butuh automation  menghidu lamardi   menghidu smart plug  ham minggu error sei        aasinya mohon  fix bugs   t server"
"770","Negatif",-1," ue aasinya   mematikan ngkat"
"771","Netral",0,"statistic error after last ue device always shown as on even the schedule off"
"772","Netral",0," error nih smart kyknya jd error massal"
"773","Netral",0,"its just me or what after a while i realize light bulb rese to turn onoff or color change are faster in ok google instead in a say ok google to turn onoff or color change only take  or  sec while in aometimes i need to reothe ao do it and sometime it realy take some time to ligh color to change in already clear data and re install the app"
"774","Netral",0,"notifikasi  muncul  hmantab tim dev nya "
"775","Netral",0,"great aplease add an on to rearrange the cameras views"
"776","Netral",0,"since new ue onoff button and timer doesnt sync with the hardware"
"777","Netral",0,"kondisi power state smart plug  aasi  sinkron  ai refresh   versi    smart plug terconnect normal  network   coba re  faq unresolved aalah crash"
"778","Netral",0,"every day i must turn off n turn on why"
"779","Netral",0,"  kena device offline  online  mesti setting lg"
"780","Netral",0," gimana sih   ue  smart  yg online  offlinesedangkan yg offline  onlinejadi bingungudah clear cacheclear datasama aja"
"781","Negatif",-1,"i share smart ir remote  m to my brothers bardi account so that he can control the air conditioner too unfortunately it cant be control from his e"
"782","Netral",0,"okeeee"
"783","Netral",0,"  notif sensor gerak  suara stlh ue terbaru    tolong  aiki dl"
"784","Positif",1," memunculkan card error   diformat twindownya  banget     sdcard khusus cctv yg ori "
"785","Netral",0,"stelah ue   ngkat  bardi   fitur smartnya  error   if  on then countdown min ga   "
"786","Negatif",-5,"bbrri   aya ngaco yah device yg nyala  aindikatornya mati device yg mati indikatornya nyala  bikin bingung kadang diet berkalikali tombol  atidak  res  yg ng fatal  device yg sy i utk menyalamatikan external hdd  mati  nyala    dii  rusak hdd  kalo  "
"787","Netral",0,"the latest ue of this aakes bardi bluetooth light bulb always error could you  fix that kind of bugs or whatever it really drives me crazy love the ious version more"
"788","Negatif",-5," ue  force close live view   i  cctv udah setahun normal  notifikasi sensor u ga jalan   a  uk siren alarm ga nyala   sebulan duhhh gimana bardi langganan kecewa gini"
"789","Netral",0,"ga connect edit  berhasil connect"
"790","Netral",0,"great app"
"791","Netral",0,"buggy aannot receive notification after ue to android "
"792","Negatif",-1,"motion detection  imera static   mendeteksi  motor  mobil  orang berjalan  terdeteksi"
"793","Netral",0,"terimakasih lem   clear     mengakses aasi bardi   reinstall  hp"
"794","Netral",0,"camera motion detection not sending notifications"
"795","Positif",1,"notif  mi t pro  muncul"
"796","Negatif",-1," gak   notifikasi  ad orang   gimana ya  ios    android  ue terbaru  gak   notifkasi"
"797","Netral",0,"ye aahut aacha hai aur mai automeshion ka kaam kar raha hu to hamko bahut aacha laga mai aahome bhi kar rakha hu"
"798","Negatif",-2," mati lam mati wifi  kedidirus  ganggu banget aa  lamintar kadang  gak kedetect   ing ulang malesin banget ui  ux aya  jelek gabakal beli uct bardi "
"799","Negatif",-2,"   mendadak akasi    notifikasi   gerakan yg terekam  cctv  rumah  coba clear cache  reinstall aasih  solved mohon dibantu"
"800","Netral",0,"ued latest version wont show notification on my bardi outdoor im  fix and will ue the rating"
"801","Positif",1,"tambahkan fitur  mengganti sinyal wifi  ngkat cctv bardi"
"802","Netral",0,"ue   loading  setting device"
"803","Netral",0,"kereeennn uknya"
"804","Negatif",-1,"fix your stupid connection issue you cant even fix it and now you added ads inside the app what an idiot developer poor ui stupid connection issue what a garbage"
"805","Negatif",-1,"after the last ue my e doesnt get any notification alarm of door sensor when it oor close"
"806","Netral",0,"since ue i cant get notification from cctv im bardi from this athis ue is bad"
"807","Negatif",-1," membantu  mudah diaasikan dgn latannya saran harga alatnya jgn  mahal ya bardi"
"808","Netral",0,"good"
"809","Netral",0,"no notification for motion detect on samsung note and xiomi"
"810","Netral",0,"barusan  cctv static outdoor cam  menginstallnya alhamdulillah berfungsi    siang  maumalam  memory nya  berfungsi yg  gb cukudak ya    ah  loogi klo  h memory nya"
"811","Netral",0," ue aasi yg terbaru  ga  terima notifikasi  diue  menerima notifikasi  ga lemot"
"812","Netral",0,"excellent"
"813","Netral",0,"works well on my ious samsung note  but having hard time accessing the cameras on my new samsung s ultra any help"
"814","Negatif",-1,"abis ue  gk  i ntah suara kenai kalo ue   aja yg ilang  tes   erornya kalo ue jgn langsung  launching"
"815","Negatif",-1,"notifikasi cctv  mati listrik  berjalan"
"816","Netral",0," a smart light wake ught ir remote smart socket  smart wallswitch    uk yanan helsk  teknisi bardi two tumbs u"
"817","Netral",0,"push notifikasi smarte android  automation message  smart door  muncul   ue btw bardi tech suangat resif trims"
"818","Positif",2,"aasinya  bagus taebih bagus    back hasil rekaman cctv  kecen   diatur    u menonton detik  detik terimakasih"
"819","Netral",0,"awesome"
"820","Negatif",-2,"lamardi wbt device connection failure  tialuar aardi  nyalainulang bt sma lokasi jg ribet ng gak blt aja gtu  ganti warna zzz"
"821","Positif",1,"liking the ue cleaner ui a faster but too bad still no dark mode"
"822","Netral",0,"i bought contact sensor recently and i have an issue with bardi notification on my samsung when the door is od i did not receive any notification at all even if the bardi as running please roll out the h to fix this"
"823","Netral",0,"hafor the new ui  ormance ude very neat and swift with new smaller home tarun buttons performance is much more better since i have  devices running and more that are not ed yet"
"824","Positif",1,"notifikasi  ah masuk  hande "
"825","Positif",1," bagus talo  dioasi jg utk ngkat tablet ipad"
"826","Netral",0,"it take too much s on storage can you just make it simand usefull dev"
"827","Netral",0,"i am using several bardy devices and this acation work well to control and rammed all the devices its also able to works with google home however to ensure stable and fast connection ensure your devices connected to nearby wifi s ensure your devices has good wifi connection as control and ramming are goes through the devices via wifi just hohat bardy devices can go more cheaso i could buy more devices to turn my home into fully smarthome"
"828","Netral",0,"wow the new uded areally crazy fast and good i never look u  store just to give comment like this love this aand com keeowing "
"829","Netral",0," membantu"
"830","Netral",0,"offline device gak   connect  walauudah  ue aasinya"
"831","Negatif",-1,"iklan standing light nya  mengganggu tolong dihilangkan"
"832","Netral",0,"the aeeking to login when i try to access"
"833","Netral",0,"please add device widget x icon for home screen in the next ue some times we need to simturn device onoff in single click without ong the athank you"
"834","Positif",1,"tambahin fitur schedule  ganti warna   ngga  on off aja overall bagus"
"835","Negatif",-1,"bug   record video  internal memori cctv outdoor stc ip  smarte  "
